Time period;Average power, day;Average power, night;Average power;Temperature
1.1. 00:00:00;;5,490;5,490;-6,4
1.1. 01:00:00;;2,240;2,240;
1.1. 02:00:00;;1,960;1,960;
1.1. 03:00:00;;3,050;3,050;
1.1. 04:00:00;;1,950;1,950;
1.1. 05:00:00;;2,340;2,340;
1.1. 06:00:00;;1,900;1,900;
1.1. 07:00:00;2,930;;2,930;
1.1. 08:00:00;2,550;;2,550;
1.1. 09:00:00;1,680;;1,680;
1.1. 10:00:00;1,700;;1,700;
1.1. 11:00:00;1,710;;1,710;
1.1. 12:00:00;2,830;;2,830;
1.1. 13:00:00;3,280;;3,280;
1.1. 14:00:00;3,390;;3,390;
1.1. 15:00:00;4,950;;4,950;
1.1. 16:00:00;3,830;;3,830;
1.1. 17:00:00;3,230;;3,230;
1.1. 18:00:00;1,990;;1,990;
1.1. 19:00:00;2,130;;2,130;
1.1. 20:00:00;2,430;;2,430;
1.1. 21:00:00;2,770;;2,770;
1.1. 22:00:00;;5,900;5,900;
1.1. 23:00:00;;7,750;7,750;
2.1. 00:00:00;;7,280;7,280;-11,7
2.1. 01:00:00;;7,220;7,220;
2.1. 02:00:00;;6,370;6,370;
2.1. 03:00:00;;3,900;3,900;
2.1. 04:00:00;;3,900;3,900;
2.1. 05:00:00;;3,620;3,620;
2.1. 06:00:00;;4,560;4,560;
2.1. 07:00:00;3,410;;3,410;
2.1. 08:00:00;3,560;;3,560;
2.1. 09:00:00;5,250;;5,250;
2.1. 10:00:00;4,830;;4,830;
2.1. 11:00:00;3,200;;3,200;
2.1. 12:00:00;2,800;;2,800;
2.1. 13:00:00;3,370;;3,370;
2.1. 14:00:00;3,980;;3,980;
2.1. 15:00:00;2,960;;2,960;
2.1. 16:00:00;4,960;;4,960;
2.1. 17:00:00;4,730;;4,730;
2.1. 18:00:00;4,060;;4,060;
2.1. 19:00:00;3,380;;3,380;
2.1. 20:00:00;2,730;;2,730;
2.1. 21:00:00;2,810;;2,810;
2.1. 22:00:00;;6,140;6,140;
2.1. 23:00:00;;7,240;7,240;
3.1. 00:00:00;;5,730;5,730;-9,4
3.1. 01:00:00;;5,930;5,930;
3.1. 02:00:00;;5,880;5,880;
3.1. 03:00:00;;5,000;5,000;
3.1. 04:00:00;;4,870;4,870;
3.1. 05:00:00;;4,230;4,230;
3.1. 06:00:00;;3,740;3,740;
3.1. 07:00:00;3,390;;3,390;
3.1. 08:00:00;2,920;;2,920;
3.1. 09:00:00;5,090;;5,090;
3.1. 10:00:00;4,450;;4,450;
3.1. 11:00:00;5,720;;5,720;
3.1. 12:00:00;4,170;;4,170;
3.1. 13:00:00;6,130;;6,130;
3.1. 14:00:00;3,810;;3,810;
3.1. 15:00:00;3,020;;3,020;
3.1. 16:00:00;2,670;;2,670;
3.1. 17:00:00;4,200;;4,200;
3.1. 18:00:00;4,090;;4,090;
3.1. 19:00:00;3,640;;3,640;
3.1. 20:00:00;3,310;;3,310;
3.1. 21:00:00;3,200;;3,200;
3.1. 22:00:00;;6,180;6,180;
3.1. 23:00:00;;7,530;7,530;
4.1. 00:00:00;;5,880;5,880;-14,5
4.1. 01:00:00;;5,360;5,360;
4.1. 02:00:00;;6,240;6,240;
4.1. 03:00:00;;6,650;6,650;
4.1. 04:00:00;;4,860;4,860;
4.1. 05:00:00;;4,250;4,250;
4.1. 06:00:00;;4,710;4,710;
4.1. 07:00:00;3,790;;3,790;
4.1. 08:00:00;2,730;;2,730;
4.1. 09:00:00;2,370;;2,370;
4.1. 10:00:00;2,800;;2,800;
4.1. 11:00:00;3,860;;3,860;
4.1. 12:00:00;4,260;;4,260;
4.1. 13:00:00;3,770;;3,770;
4.1. 14:00:00;3,120;;3,120;
4.1. 15:00:00;3,400;;3,400;
4.1. 16:00:00;3,890;;3,890;
4.1. 17:00:00;4,170;;4,170;
4.1. 18:00:00;3,260;;3,260;
4.1. 19:00:00;3,950;;3,950;
4.1. 20:00:00;4,240;;4,240;
4.1. 21:00:00;4,050;;4,050;
4.1. 22:00:00;;6,890;6,890;
4.1. 23:00:00;;7,820;7,820;
5.1. 00:00:00;;6,960;6,960;-18,8
5.1. 01:00:00;;5,920;5,920;
5.1. 02:00:00;;5,080;5,080;
5.1. 03:00:00;;4,540;4,540;
5.1. 04:00:00;;5,610;5,610;
5.1. 05:00:00;;5,050;5,050;
5.1. 06:00:00;;6,080;6,080;
5.1. 07:00:00;5,220;;5,220;
5.1. 08:00:00;3,490;;3,490;
5.1. 09:00:00;3,140;;3,140;
5.1. 10:00:00;2,860;;2,860;
5.1. 11:00:00;3,330;;3,330;
5.1. 12:00:00;4,790;;4,790;
5.1. 13:00:00;5,050;;5,050;
5.1. 14:00:00;4,840;;4,840;
5.1. 15:00:00;4,680;;4,680;
5.1. 16:00:00;4,160;;4,160;
5.1. 17:00:00;4,190;;4,190;
5.1. 18:00:00;3,330;;3,330;
5.1. 19:00:00;3,600;;3,600;
5.1. 20:00:00;4,480;;4,480;
5.1. 21:00:00;5,270;;5,270;
5.1. 22:00:00;;7,980;7,980;
5.1. 23:00:00;;9,130;9,130;
6.1. 00:00:00;;8,440;8,440;-23,1
6.1. 01:00:00;;7,600;7,600;
6.1. 02:00:00;;6,250;6,250;
6.1. 03:00:00;;5,950;5,950;
6.1. 04:00:00;;6,780;6,780;
6.1. 05:00:00;;5,180;5,180;
6.1. 06:00:00;;5,000;5,000;
6.1. 07:00:00;3,820;;3,820;
6.1. 08:00:00;4,150;;4,150;
6.1. 09:00:00;4,680;;4,680;
6.1. 10:00:00;4,590;;4,590;
6.1. 11:00:00;5,100;;5,100;
6.1. 12:00:00;5,640;;5,640;
6.1. 13:00:00;5,370;;5,370;
