Time period;Consumption (net) kWh;Production (net) kWh;Daily average temperature
2019-01-01T00:00:00.000+02:00;3,86;0;-0,1
2019-01-01T01:00:00.000+02:00;3,1;0;0,1
2019-01-01T02:00:00.000+02:00;3,15;0;0,3
2019-01-01T03:00:00.000+02:00;1,67;0;0,5
2019-01-01T04:00:00.000+02:00;1,62;0;0,6
2019-01-01T05:00:00.000+02:00;1,29;0;0,8
2019-01-01T06:00:00.000+02:00;1,69;0;1,1
2019-01-01T07:00:00.000+02:00;1,08;0;1,5
2019-01-01T08:00:00.000+02:00;1,04;0;1,7
2019-01-01T09:00:00.000+02:00;1,02;0;1,8
2019-01-01T10:00:00.000+02:00;2,06;0;1,8
2019-01-01T11:00:00.000+02:00;3,36;0;2
2019-01-01T12:00:00.000+02:00;2,65;0;2
2019-01-01T13:00:00.000+02:00;2,67;0;2
2019-01-01T14:00:00.000+02:00;2,34;0;1,9
2019-01-01T15:00:00.000+02:00;1,74;0;1,8
2019-01-01T16:00:00.000+02:00;2,02;0;1,6
2019-01-01T17:00:00.000+02:00;2,05;0;1,2
2019-01-01T18:00:00.000+02:00;2,07;0;1,1
2019-01-01T19:00:00.000+02:00;2,33;0;0,8
2019-01-01T20:00:00.000+02:00;2,51;0;0,5
2019-01-01T21:00:00.000+02:00;2,14;0;0,3
2019-01-01T22:00:00.000+02:00;1,65;0;0,4
2019-01-01T23:00:00.000+02:00;6,23;0;0,3
2019-01-02T00:00:00.000+02:00;5,62;0;0,4
2019-01-02T01:00:00.000+02:00;3,11;0;0,2
2019-01-02T02:00:00.000+02:00;1,97;0;0,1
2019-01-02T03:00:00.000+02:00;2,26;0;-0,8
2019-01-02T04:00:00.000+02:00;1,56;0;-2,4
2019-01-02T05:00:00.000+02:00;1,76;0;-3,3
2019-01-02T06:00:00.000+02:00;2,15;0;-3,4
2019-01-02T07:00:00.000+02:00;2,72;0;-3,7
2019-01-02T08:00:00.000+02:00;2,57;0;-4,3
2019-01-02T09:00:00.000+02:00;1,73;0;-4,8
2019-01-02T10:00:00.000+02:00;2,38;0;-5
2019-01-02T11:00:00.000+02:00;2,85;0;-5,3
2019-01-02T12:00:00.000+02:00;3,11;0;-5,7
2019-01-02T13:00:00.000+02:00;2,88;0;-5,9
2019-01-02T14:00:00.000+02:00;2,94;0;-6
2019-01-02T15:00:00.000+02:00;2,44;0;-6,6
2019-01-02T16:00:00.000+02:00;1,97;0;-7,3
2019-01-02T17:00:00.000+02:00;3,24;0;-7,6
2019-01-02T18:00:00.000+02:00;4,07;0;-7,7
2019-01-02T19:00:00.000+02:00;2,4;0;-7,6
2019-01-02T20:00:00.000+02:00;2,47;0;-7,7
2019-01-02T21:00:00.000+02:00;2,97;0;-7,8
2019-01-02T22:00:00.000+02:00;3,37;0;-8,1
2019-01-02T23:00:00.000+02:00;6,58;0;-8,4
2019-01-03T00:00:00.000+02:00;5,48;0;-8,5
2019-01-03T01:00:00.000+02:00;4,95;0;-8,8
2019-01-03T02:00:00.000+02:00;2,68;0;-9
2019-01-03T03:00:00.000+02:00;4,97;0;-9,3
2019-01-03T04:00:00.000+02:00;2,99;0;-9,6
2019-01-03T05:00:00.000+02:00;3,12;0;-10
2019-01-03T06:00:00.000+02:00;3,38;0;-10,2
2019-01-03T07:00:00.000+02:00;3,59;0;-10,6
2019-01-03T08:00:00.000+02:00;2,64;0;-11,1
2019-01-03T09:00:00.000+02:00;2,29;0;-11,5
2019-01-03T10:00:00.000+02:00;2,51;0;-11,9
2019-01-03T11:00:00.000+02:00;3,82;0;-11,7
2019-01-03T12:00:00.000+02:00;4,53;0;-11,5
2019-01-03T13:00:00.000+02:00;2,85;0;-11,3
2019-01-03T14:00:00.000+02:00;3,1;0;-11,1
2019-01-03T15:00:00.000+02:00;3,61;0;-11,3
2019-01-03T16:00:00.000+02:00;3,78;0;-12,7
2019-01-03T17:00:00.000+02:00;3,09;0;-14,3
2019-01-03T18:00:00.000+02:00;3,17;0;-15,3
2019-01-03T19:00:00.000+02:00;4,09;0;-16,4
2019-01-03T20:00:00.000+02:00;3,61;0;-16,6
2019-01-03T21:00:00.000+02:00;3,05;0;-16,5
2019-01-03T22:00:00.000+02:00;2,76;0;-15,2
2019-01-03T23:00:00.000+02:00;8,69;0;-12,4
2019-01-04T00:00:00.000+02:00;8,39;0;-10,3
2019-01-04T01:00:00.000+02:00;4,86;0;-8,9
2019-01-04T02:00:00.000+02:00;3,36;0;-8,2
2019-01-04T03:00:00.000+02:00;2,79;0;-7,3
2019-01-04T04:00:00.000+02:00;3,1;0;-6,2
2019-01-04T05:00:00.000+02:00;2,91;0;-5,9
2019-01-04T06:00:00.000+02:00;1,86;0;-5,6
