Time; Consumption (net) kWh; Daily average temperature
2022-01-01T00:00:00.000+02:00;2,330;-6,3
2022-01-01T01:00:00.000+02:00;3,690;-6,3
2022-01-01T02:00:00.000+02:00;4,240;-6,3
2022-01-01T03:00:00.000+02:00;3,390;-6,3
2022-01-01T04:00:00.000+02:00;3,120;-6,3
2022-01-01T05:00:00.000+02:00;1,630;-6,3
2022-01-01T06:00:00.000+02:00;1,690;-6,3
2022-01-01T07:00:00.000+02:00;1,830;-6,3
2022-01-01T08:00:00.000+02:00;1,990;-6,3
2022-01-01T09:00:00.000+02:00;1,670;-6,3
2022-01-01T10:00:00.000+02:00;2,020;-6,3
2022-01-01T11:00:00.000+02:00;3,270;-6,3
2022-01-01T12:00:00.000+02:00;3,830;-6,3
2022-01-01T13:00:00.000+02:00;2,670;-6,3
2022-01-01T14:00:00.000+02:00;2,300;-6,3
2022-01-01T15:00:00.000+02:00;2,150;-6,3
2022-01-01T16:00:00.000+02:00;1,830;-6,3
2022-01-01T17:00:00.000+02:00;1,970;-6,3
2022-01-01T18:00:00.000+02:00;2,640;-6,3
2022-01-01T19:00:00.000+02:00;2,430;-6,3
2022-01-01T20:00:00.000+02:00;2,670;-6,3
2022-01-01T21:00:00.000+02:00;2,560;-6,3
2022-01-01T22:00:00.000+02:00;2,690;-6,3
2022-01-01T23:00:00.000+02:00;1,830;-6,3
2022-01-02T00:00:00.000+02:00;1,660;-7,0
2022-01-02T01:00:00.000+02:00;5,060;-7,0
2022-01-02T02:00:00.000+02:00;9,710;-7,0
2022-01-02T03:00:00.000+02:00;9,270;-7,0
2022-01-02T04:00:00.000+02:00;3,910;-7,0
2022-01-02T05:00:00.000+02:00;2,600;-7,0
2022-01-02T06:00:00.000+02:00;1,720;-7,0
2022-01-02T07:00:00.000+02:00;1,950;-7,0
2022-01-02T08:00:00.000+02:00;1,970;-7,0
2022-01-02T09:00:00.000+02:00;2,630;-7,0
2022-01-02T10:00:00.000+02:00;2,480;-7,0
2022-01-02T11:00:00.000+02:00;2,780;-7,0
2022-01-02T12:00:00.000+02:00;3,320;-7,0
2022-01-02T13:00:00.000+02:00;2,160;-7,0
2022-01-02T14:00:00.000+02:00;2,410;-7,0
2022-01-02T15:00:00.000+02:00;3,510;-7,0
2022-01-02T16:00:00.000+02:00;3,070;-7,0
2022-01-02T17:00:00.000+02:00;2,940;-7,0
2022-01-02T18:00:00.000+02:00;3,100;-7,0
2022-01-02T19:00:00.000+02:00;2,460;-7,0
2022-01-02T20:00:00.000+02:00;2,430;-7,0
2022-01-02T21:00:00.000+02:00;2,580;-7,0
2022-01-02T22:00:00.000+02:00;2,270;-7,0
2022-01-02T23:00:00.000+02:00;1,770;-7,0
2022-01-03T00:00:00.000+02:00;1,790;-4,4
2022-01-03T01:00:00.000+02:00;5,320;-4,4
2022-01-03T02:00:00.000+02:00;9,350;-4,4
2022-01-03T03:00:00.000+02:00;8,370;-4,4
2022-01-03T04:00:00.000+02:00;3,440;-4,4
2022-01-03T05:00:00.000+02:00;2,130;-4,4
2022-01-03T06:00:00.000+02:00;2,440;-4,4
2022-01-03T07:00:00.000+02:00;1,830;-4,4
2022-01-03T08:00:00.000+02:00;2,320;-4,4
2022-01-03T09:00:00.000+02:00;2,280;-4,4
2022-01-03T10:00:00.000+02:00;2,290;-4,4
2022-01-03T11:00:00.000+02:00;2,610;-4,4
