Time; Consumption (net) kWh;Daily average temperature
2022-01-01T00:00:00.000+02:00;2,330;-1,7
2022-01-01T01:00:00.000+02:00;3,690;-2
2022-01-01T02:00:00.000+02:00;4,240;-2,9
2022-01-01T03:00:00.000+02:00;3,390;-3,9
2022-01-01T04:00:00.000+02:00;3,120;-4,5
2022-01-01T05:00:00.000+02:00;1,630;-4,7
2022-01-01T06:00:00.000+02:00;1,690;-4,3
2022-01-01T07:00:00.000+02:00;1,830;-4,6
2022-01-01T08:00:00.000+02:00;1,990;-4,9
2022-01-01T09:00:00.000+02:00;1,670;-6,4
2022-01-01T10:00:00.000+02:00;2,020;-7,4
2022-01-01T11:00:00.000+02:00;3,270;-7,8
2022-01-01T12:00:00.000+02:00;3,830;-7,6
2022-01-01T13:00:00.000+02:00;2,670;-6,7
2022-01-01T14:00:00.000+02:00;2,300;-6,2
2022-01-01T15:00:00.000+02:00;2,150;-5,8
2022-01-01T16:00:00.000+02:00;1,830;-6,1
2022-01-01T17:00:00.000+02:00;1,970;-6,4
2022-01-01T18:00:00.000+02:00;2,640;-7,6
2022-01-01T19:00:00.000+02:00;2,430;-8,6
2022-01-01T20:00:00.000+02:00;2,670;-9,5
2022-01-01T21:00:00.000+02:00;2,560;-10,1
2022-01-01T22:00:00.000+02:00;2,690;-10,7
2022-01-01T23:00:00.000+02:00;1,830;-10,7
2022-01-02T00:00:00.000+02:00;1,660;-10,5
2022-01-02T01:00:00.000+02:00;5,060;-10,9
2022-01-02T02:00:00.000+02:00;9,710;-12
2022-01-02T03:00:00.000+02:00;9,270;-12,5
2022-01-02T04:00:00.000+02:00;3,910;-12,2
2022-01-02T05:00:00.000+02:00;2,600;-11,4
2022-01-02T06:00:00.000+02:00;1,720;-10,7
2022-01-02T07:00:00.000+02:00;1,950;-10,5
2022-01-02T08:00:00.000+02:00;1,970;-9,7
2022-01-02T09:00:00.000+02:00;2,630;-9,2
2022-01-02T10:00:00.000+02:00;2,480;-8,6
2022-01-02T11:00:00.000+02:00;2,780;-7,9
2022-01-02T12:00:00.000+02:00;3,320;-6,9
2022-01-02T13:00:00.000+02:00;2,160;-5,9
2022-01-02T14:00:00.000+02:00;2,410;-5
2022-01-02T15:00:00.000+02:00;3,510;-4,4
2022-01-02T16:00:00.000+02:00;3,070;-4,1
2022-01-02T17:00:00.000+02:00;2,940;-3,9
2022-01-02T18:00:00.000+02:00;3,100;-3,8
2022-01-02T19:00:00.000+02:00;2,460;-3,8
2022-01-02T20:00:00.000+02:00;2,430;-4
2022-01-02T21:00:00.000+02:00;2,580;-4
2022-01-02T22:00:00.000+02:00;2,270;-4,1
2022-01-02T23:00:00.000+02:00;1,770;-4,2
2022-01-03T00:00:00.000+02:00;1,790;-4,2
2022-01-03T01:00:00.000+02:00;5,320;-4,3
2022-01-03T02:00:00.000+02:00;9,350;-4,4
2022-01-03T03:00:00.000+02:00;8,370;-4,4
2022-01-03T04:00:00.000+02:00;3,440;-4,4
2022-01-03T05:00:00.000+02:00;2,130;-4,4
2022-01-03T06:00:00.000+02:00;2,440;-4,4
2022-01-03T07:00:00.000+02:00;1,830;-4,3
2022-01-03T08:00:00.000+02:00;2,320;-4,2
2022-01-03T09:00:00.000+02:00;2,280;-4
2022-01-03T10:00:00.000+02:00;2,290;-3,9
2022-01-03T11:00:00.000+02:00;2,610;-3,7
2022-01-03T12:00:00.000+02:00;2,330;-3,8
2022-01-03T13:00:00.000+02:00;3,170;-3,7
2022-01-03T14:00:00.000+02:00;2,730;-3,7
2022-01-03T15:00:00.000+02:00;2,550;-3,9
2022-01-03T16:00:00.000+02:00;2,780;-4,1
2022-01-03T17:00:00.000+02:00;3,070;-4,2
2022-01-03T18:00:00.000+02:00;1,800;-4,6
2022-01-03T19:00:00.000+02:00;2,460;-5
2022-01-03T20:00:00.000+02:00;2,610;-5,1
2022-01-03T21:00:00.000+02:00;2,270;-5,1
2022-01-03T22:00:00.000+02:00;1,910;-5,2
2022-01-03T23:00:00.000+02:00;1,970;-5,3
2022-01-04T00:00:00.000+02:00;2,120;-5,3
2022-01-04T01:00:00.000+02:00;4,860;-5,3
2022-01-04T02:00:00.000+02:00;7,880;-5,1
2022-01-04T03:00:00.000+02:00;6,550;-5
2022-01-04T04:00:00.000+02:00;2,970;-5
2022-01-04T05:00:00.000+02:00;1,830;-4,7
2022-01-04T06:00:00.000+02:00;2,740;-4,6
2022-01-04T07:00:00.000+02:00;3,010;-4,2
2022-01-04T08:00:00.000+02:00;1,960;-4
2022-01-04T09:00:00.000+02:00;2,070;-3,8
2022-01-04T10:00:00.000+02:00;2,350;-3,4
2022-01-04T11:00:00.000+02:00;2,960;-3,1
2022-01-04T12:00:00.000+02:00;2,730;-2,7
2022-01-04T13:00:00.000+02:00;2,960;-2,1
2022-01-04T14:00:00.000+02:00;3,070;-1,7
2022-01-04T15:00:00.000+02:00;2,600;-1,2
2022-01-04T16:00:00.000+02:00;2,830;-0,9
2022-01-04T17:00:00.000+02:00;3,620;-2,3
2022-01-04T18:00:00.000+02:00;2,420;-1,7
2022-01-04T19:00:00.000+02:00;1,870;-1,2
2022-01-04T20:00:00.000+02:00;3,040;-0,9
2022-01-04T21:00:00.000+02:00;3,020;-0,8
2022-01-04T22:00:00.000+02:00;1,950;-0,9
2022-01-04T23:00:00.000+02:00;1,600;-1
2022-01-05T00:00:00.000+02:00;1,490;-0,8
2022-01-05T01:00:00.000+02:00;4,640;-0,7
2022-01-05T02:00:00.000+02:00;7,820;-0,4
2022-01-05T03:00:00.000+02:00;6,130;-0,5
2022-01-05T04:00:00.000+02:00;2,720;-0,6
2022-01-05T05:00:00.000+02:00;1,620;-0,6
2022-01-05T06:00:00.000+02:00;1,630;-0,6
2022-01-05T07:00:00.000+02:00;1,870;-0,7
2022-01-05T08:00:00.000+02:00;2,200;-0,8
2022-01-05T09:00:00.000+02:00;2,150;-1
2022-01-05T10:00:00.000+02:00;2,730;-1,7
2022-01-05T11:00:00.000+02:00;2,440;-1,8
2022-01-05T12:00:00.000+02:00;2,950;-2
2022-01-05T13:00:00.000+02:00;3,570;-1,7
2022-01-05T14:00:00.000+02:00;3,110;-1
2022-01-05T15:00:00.000+02:00;2,660;-0,8
2022-01-05T16:00:00.000+02:00;2,890;-1,4
2022-01-05T17:00:00.000+02:00;2,070;-2
2022-01-05T18:00:00.000+02:00;1,790;-2,7
2022-01-05T19:00:00.000+02:00;2,440;-2,7
2022-01-05T20:00:00.000+02:00;2,160;-2,6
2022-01-05T21:00:00.000+02:00;1,930;-2,6
2022-01-05T22:00:00.000+02:00;2,010;-2,8
2022-01-05T23:00:00.000+02:00;2,280;-2,8
2022-01-06T00:00:00.000+02:00;2,070;-2,6
2022-01-06T01:00:00.000+02:00;4,230;-2,4
2022-01-06T02:00:00.000+02:00;7,640;-2,2
2022-01-06T03:00:00.000+02:00;6,580;-3,3
2022-01-06T04:00:00.000+02:00;3,150;-5,7
2022-01-06T05:00:00.000+02:00;1,620;-6,8
2022-01-06T06:00:00.000+02:00;2,080;-7,4
2022-01-06T07:00:00.000+02:00;1,850;-7,7
2022-01-06T08:00:00.000+02:00;2,280;-8,2
2022-01-06T09:00:00.000+02:00;3,040;-8,1
2022-01-06T10:00:00.000+02:00;3,040;-8,4
2022-01-06T11:00:00.000+02:00;2,400;-8,6
2022-01-06T12:00:00.000+02:00;3,080;-8,1
2022-01-06T13:00:00.000+02:00;5,270;-8,8
2022-01-06T14:00:00.000+02:00;4,810;-9,1
2022-01-06T15:00:00.000+02:00;2,810;-9,1
2022-01-06T16:00:00.000+02:00;3,460;-9,7
2022-01-06T17:00:00.000+02:00;3,300;-10,8
2022-01-06T18:00:00.000+02:00;2,740;-11
2022-01-06T19:00:00.000+02:00;2,730;-10,6
2022-01-06T20:00:00.000+02:00;2,410;-9,8
2022-01-06T21:00:00.000+02:00;2,160;-9,3
2022-01-06T22:00:00.000+02:00;2,480;-8,1
2022-01-06T23:00:00.000+02:00;2,100;-8
2022-01-07T00:00:00.000+02:00;1,810;-7,6
2022-01-07T01:00:00.000+02:00;5,040;-7,8
2022-01-07T02:00:00.000+02:00;7,910;-7,9
2022-01-07T03:00:00.000+02:00;5,770;-8,4
2022-01-07T04:00:00.000+02:00;3,540;-9
2022-01-07T05:00:00.000+02:00;3,270;-9,3
2022-01-07T06:00:00.000+02:00;2,610;-9,3
2022-01-07T07:00:00.000+02:00;2,250;-9,2
2022-01-07T08:00:00.000+02:00;2,390;-9,4
2022-01-07T09:00:00.000+02:00;2,590;-9,7
2022-01-07T10:00:00.000+02:00;2,600;-10,3
2022-01-07T11:00:00.000+02:00;3,490;-10,5
2022-01-07T12:00:00.000+02:00;4,360;-10,4
2022-01-07T13:00:00.000+02:00;2,920;-10,2
2022-01-07T14:00:00.000+02:00;3,010;-9,7
2022-01-07T15:00:00.000+02:00;3,930;-9,2
2022-01-07T16:00:00.000+02:00;3,450;-8,3
2022-01-07T17:00:00.000+02:00;2,860;-8
2022-01-07T18:00:00.000+02:00;3,470;-7,9
2022-01-07T19:00:00.000+02:00;2,870;-7,8
2022-01-07T20:00:00.000+02:00;3,460;-7,7
2022-01-07T21:00:00.000+02:00;2,380;-7,8
2022-01-07T22:00:00.000+02:00;2,320;-7,9
2022-01-07T23:00:00.000+02:00;1,930;-8,1
2022-01-08T00:00:00.000+02:00;2,080;-8,4
2022-01-08T01:00:00.000+02:00;4,850;-9
2022-01-08T02:00:00.000+02:00;7,760;-11,6
2022-01-08T03:00:00.000+02:00;4,170;-12,4
2022-01-08T04:00:00.000+02:00;3,880;-11,4
2022-01-08T05:00:00.000+02:00;2,520;-10,7
2022-01-08T06:00:00.000+02:00;2,430;-10,1
2022-01-08T07:00:00.000+02:00;2,060;-10,3
2022-01-08T08:00:00.000+02:00;2,350;-10,7
2022-01-08T09:00:00.000+02:00;2,710;-11,7
2022-01-08T10:00:00.000+02:00;4,530;-11,3
2022-01-08T11:00:00.000+02:00;3,890;-11,5
2022-01-08T12:00:00.000+02:00;4,010;-11,5
2022-01-08T13:00:00.000+02:00;3,670;-11,4
2022-01-08T14:00:00.000+02:00;3,000;-10,7
2022-01-08T15:00:00.000+02:00;3,280;-10,2
2022-01-08T16:00:00.000+02:00;3,370;-9,8
2022-01-08T17:00:00.000+02:00;3,230;-9,3
