Time; Consumption (net) kWh; Production (net) kWh; Daily average temperature
2023-01-01T00:00:00.000+02:00;1,440;;-0,4
2023-01-01T01:00:00.000+02:00;2,070;;-0,4
2023-01-01T02:00:00.000+02:00;2,730;;-0,4
2023-01-01T03:00:00.000+02:00;1,770;;-0,4
2023-01-01T04:00:00.000+02:00;2,070;;-0,4
2023-01-01T05:00:00.000+02:00;1,670;;-0,4
2023-01-01T06:00:00.000+02:00;1,580;;-0,4
2023-01-01T07:00:00.000+02:00;1,030;;-0,4
2023-01-01T08:00:00.000+02:00;1,240;;-0,4
2023-01-01T09:00:00.000+02:00;1,590;;-0,4
2023-01-01T10:00:00.000+02:00;1,280;;-0,4
2023-01-01T11:00:00.000+02:00;1,770;;-0,4
2023-01-01T12:00:00.000+02:00;1,460;;-0,4
2023-01-01T13:00:00.000+02:00;1,660;;-0,4
2023-01-01T14:00:00.000+02:00;1,870;;-0,4
2023-01-01T15:00:00.000+02:00;1,590;;-0,4
2023-01-01T16:00:00.000+02:00;1,770;;-0,4
2023-01-01T17:00:00.000+02:00;2,530;;-0,4
2023-01-01T18:00:00.000+02:00;1,760;;-0,4
2023-01-01T19:00:00.000+02:00;2,040;;-0,4
2023-01-01T20:00:00.000+02:00;1,940;;-0,4
2023-01-01T21:00:00.000+02:00;3,200;;-0,4
2023-01-01T22:00:00.000+02:00;1,660;;-0,4
2023-01-01T23:00:00.000+02:00;1,520;;-0,4
2023-01-02T00:00:00.000+02:00;1,550;;-3,2
2023-01-02T01:00:00.000+02:00;2,290;;-3,2
2023-01-02T02:00:00.000+02:00;3,220;;-3,2
2023-01-02T03:00:00.000+02:00;2,160;;-3,2
2023-01-02T04:00:00.000+02:00;2,510;;-3,2
2023-01-02T05:00:00.000+02:00;1,570;;-3,2
2023-01-02T06:00:00.000+02:00;2,190;;-3,2
2023-01-02T07:00:00.000+02:00;3,280;;-3,2
2023-01-02T08:00:00.000+02:00;2,080;;-3,2
2023-01-02T09:00:00.000+02:00;2,110;;-3,2
2023-01-02T10:00:00.000+02:00;1,790;;-3,2
2023-01-02T11:00:00.000+02:00;2,010;;-3,2
2023-01-02T12:00:00.000+02:00;2,400;;-3,2
2023-01-02T13:00:00.000+02:00;1,790;;-3,2
2023-01-02T14:00:00.000+02:00;2,240;;-3,2
2023-01-02T15:00:00.000+02:00;3,290;;-3,2
2023-01-02T16:00:00.000+02:00;2,260;;-3,2
2023-01-02T17:00:00.000+02:00;2,080;;-3,2
2023-01-02T18:00:00.000+02:00;1,640;;-3,2
2023-01-02T19:00:00.000+02:00;2,040;;-3,2
2023-01-02T20:00:00.000+02:00;2,000;;-3,2
2023-01-02T21:00:00.000+02:00;1,850;;-3,2
2023-01-02T22:00:00.000+02:00;2,010;;-3,2
2023-01-02T23:00:00.000+02:00;1,700;;-3,2
2023-01-03T00:00:00.000+02:00;1,340;;-2,1
2023-01-03T01:00:00.000+02:00;2,570;;-2,1
2023-01-03T02:00:00.000+02:00;3,880;;-2,1
2023-01-03T03:00:00.000+02:00;3,510;;-2,1
2023-01-03T04:00:00.000+02:00;2,090;;-2,1
2023-01-03T05:00:00.000+02:00;1,410;;-2,1
2023-01-03T06:00:00.000+02:00;2,160;;-2,1
2023-01-03T07:00:00.000+02:00;3,530;;-2,1
2023-01-03T08:00:00.000+02:00;2,330;;-2,1
2023-01-03T09:00:00.000+02:00;1,550;;-2,1
2023-01-03T10:00:00.000+02:00;1,790;;-2,1
2023-01-03T11:00:00.000+02:00;1,290;;-2,1
2023-01-03T12:00:00.000+02:00;1,770;;-2,1
2023-01-03T13:00:00.000+02:00;2,300;;-2,1
2023-01-03T14:00:00.000+02:00;3,880;;-2,1
