Time; Consumption (net) kWh; Production (net) kWh; Daily average temperature
2024-01-01T00:00:00.000+02:00;3,363;0,000;-19,7
2024-01-01T01:00:00.000+02:00;3,113;0,000;-19,7
2024-01-01T02:00:00.000+02:00;3,128;0,000;-19,7
2024-01-01T03:00:00.000+02:00;2,929;0,000;-19,7
2024-01-01T04:00:00.000+02:00;3,402;0,000;-19,7
2024-01-01T05:00:00.000+02:00;2,530;0,000;-19,7
2024-01-01T06:00:00.000+02:00;2,511;0,000;-19,7
2024-01-01T07:00:00.000+02:00;2,273;0,000;-19,7
2024-01-01T08:00:00.000+02:00;2,047;0,000;-19,7
2024-01-01T09:00:00.000+02:00;2,817;0,000;-19,7
2024-01-01T10:00:00.000+02:00;5,123;0,000;-19,7
2024-01-01T11:00:00.000+02:00;4,059;0,000;-19,7
2024-01-01T12:00:00.000+02:00;3,579;0,000;-19,7
2024-01-01T13:00:00.000+02:00;3,562;0,000;-19,7
2024-01-01T14:00:00.000+02:00;5,278;0,000;-19,7
2024-01-01T15:00:00.000+02:00;4,586;0,000;-19,7
2024-01-01T16:00:00.000+02:00;3,479;0,000;-19,7
2024-01-01T17:00:00.000+02:00;3,780;0,000;-19,7
2024-01-01T18:00:00.000+02:00;3,695;0,000;-19,7
2024-01-01T19:00:00.000+02:00;3,106;0,000;-19,7
2024-01-01T20:00:00.000+02:00;2,801;0,000;-19,7
2024-01-01T21:00:00.000+02:00;3,131;0,000;-19,7
2024-01-01T22:00:00.000+02:00;2,940;0,000;-19,7
2024-01-01T23:00:00.000+02:00;2,772;0,000;-19,7
2024-01-02T00:00:00.000+02:00;2,523;0,000;-22,8
2024-01-02T01:00:00.000+02:00;2,463;0,000;-22,8
2024-01-02T02:00:00.000+02:00;2,317;0,000;-22,8
2024-01-02T03:00:00.000+02:00;3,025;0,000;-22,8
2024-01-02T04:00:00.000+02:00;3,533;0,000;-22,8
2024-01-02T05:00:00.000+02:00;3,442;0,000;-22,8
2024-01-02T06:00:00.000+02:00;4,249;0,000;-22,8
2024-01-02T07:00:00.000+02:00;4,011;0,000;-22,8
2024-01-02T08:00:00.000+02:00;2,969;0,000;-22,8
2024-01-02T09:00:00.000+02:00;2,923;0,000;-22,8
2024-01-02T10:00:00.000+02:00;5,092;0,000;-22,8
2024-01-02T11:00:00.000+02:00;5,542;0,000;-22,8
2024-01-02T12:00:00.000+02:00;5,586;0,000;-22,8
2024-01-02T13:00:00.000+02:00;4,049;0,000;-22,8
2024-01-02T14:00:00.000+02:00;4,492;0,000;-22,8
2024-01-02T15:00:00.000+02:00;4,195;0,000;-22,8
2024-01-02T16:00:00.000+02:00;3,888;0,000;-22,8
2024-01-02T17:00:00.000+02:00;5,016;0,000;-22,8
2024-01-02T18:00:00.000+02:00;4,251;0,000;-22,8
2024-01-02T19:00:00.000+02:00;3,598;0,000;-22,8
2024-01-02T20:00:00.000+02:00;3,234;0,000;-22,8
2024-01-02T21:00:00.000+02:00;3,001;0,000;-22,8
2024-01-02T22:00:00.000+02:00;3,307;0,000;-22,8
2024-01-02T23:00:00.000+02:00;2,974;0,000;-22,8
2024-01-03T00:00:00.000+02:00;2,544;0,000;-23,5
2024-01-03T01:00:00.000+02:00;2,845;0,000;-23,5
2024-01-03T02:00:00.000+02:00;2,893;0,000;-23,5
2024-01-03T03:00:00.000+02:00;3,180;0,000;-23,5
2024-01-03T04:00:00.000+02:00;3,507;0,000;-23,5
2024-01-03T05:00:00.000+02:00;3,961;0,000;-23,5
2024-01-03T06:00:00.000+02:00;5,024;0,000;-23,5
2024-01-03T07:00:00.000+02:00;3,733;0,000;-23,5
2024-01-03T08:00:00.000+02:00;2,872;0,000;-23,5
2024-01-03T09:00:00.000+02:00;3,310;0,000;-23,5
2024-01-03T10:00:00.000+02:00;6,408;0,000;-23,5
2024-01-03T11:00:00.000+02:00;3,553;0,000;-23,5
2024-01-03T12:00:00.000+02:00;3,996;0,000;-23,5
2024-01-03T13:00:00.000+02:00;3,774;0,000;-23,5
2024-01-03T14:00:00.000+02:00;4,040;0,000;-23,5
2024-01-03T15:00:00.000+02:00;3,587;0,000;-23,5
2024-01-03T16:00:00.000+02:00;4,153;0,000;-23,5
2024-01-03T17:00:00.000+02:00;3,680;0,000;-23,5
2024-01-03T18:00:00.000+02:00;3,874;0,000;-23,5
2024-01-03T19:00:00.000+02:00;3,833;0,000;-23,5
2024-01-03T20:00:00.000+02:00;3,503;0,000;-23,5
2024-01-03T21:00:00.000+02:00;2,861;0,000;-23,5
2024-01-03T22:00:00.000+02:00;3,055;0,000;-23,5
2024-01-03T23:00:00.000+02:00;3,131;0,000;-23,5
2024-01-04T00:00:00.000+02:00;2,617;0,000;-23,3
2024-01-04T01:00:00.000+02:00;2,393;0,000;-23,3
2024-01-04T02:00:00.000+02:00;2,918;0,000;-23,3
2024-01-04T03:00:00.000+02:00;3,419;0,000;-23,3
2024-01-04T04:00:00.000+02:00;4,033;0,000;-23,3
2024-01-04T05:00:00.000+02:00;3,829;0,000;-23,3
2024-01-04T06:00:00.000+02:00;4,331;0,000;-23,3
