Time period;Average power, day;Average power, night;Average power;Temperature
1.1. 00:00:00;;3,570;3,570;-1,3
1.1. 01:00:00;;2,950;2,950;
1.1. 02:00:00;;2,140;2,140;
1.1. 03:00:00;;2,230;2,230;
1.1. 04:00:00;;2,620;2,620;
1.1. 05:00:00;;3,200;3,200;
1.1. 06:00:00;;2,670;2,670;
1.1. 07:00:00;2,000;;2,000;
1.1. 08:00:00;1,510;;1,510;
1.1. 09:00:00;1,560;;1,560;
1.1. 10:00:00;1,940;;1,940;
1.1. 11:00:00;2,000;;2,000;
1.1. 12:00:00;2,660;;2,660;
1.1. 13:00:00;2,380;;2,380;
1.1. 14:00:00;1,980;;1,980;
1.1. 15:00:00;2,090;;2,090;
1.1. 16:00:00;3,020;;3,020;
1.1. 17:00:00;2,710;;2,710;
1.1. 18:00:00;1,750;;1,750;
1.1. 19:00:00;1,620;;1,620;
1.1. 20:00:00;1,900;;1,900;
1.1. 21:00:00;2,370;;2,370;
1.1. 22:00:00;;2,990;2,990;
1.1. 23:00:00;;5,140;5,140;
2.1. 00:00:00;;3,250;3,250;-4,8
2.1. 01:00:00;;2,700;2,700;
2.1. 02:00:00;;3,150;3,150;
2.1. 03:00:00;;2,640;2,640;
2.1. 04:00:00;;2,650;2,650;
2.1. 05:00:00;;3,150;3,150;
2.1. 06:00:00;;3,990;3,990;
2.1. 07:00:00;2,760;;2,760;
2.1. 08:00:00;1,730;;1,730;
2.1. 09:00:00;1,770;;1,770;
2.1. 10:00:00;2,360;;2,360;
2.1. 11:00:00;2,890;;2,890;
2.1. 12:00:00;2,510;;2,510;
2.1. 13:00:00;2,190;;2,190;
2.1. 14:00:00;2,320;;2,320;
2.1. 15:00:00;2,670;;2,670;
2.1. 16:00:00;3,050;;3,050;
2.1. 17:00:00;2,060;;2,060;
2.1. 18:00:00;3,130;;3,130;
2.1. 19:00:00;2,660;;2,660;
2.1. 20:00:00;3,520;;3,520;
2.1. 21:00:00;2,960;;2,960;
2.1. 22:00:00;;4,190;4,190;
2.1. 23:00:00;;6,360;6,360;
